[ 2024-10-17 14:29:07,346 ] 67 Helper - INFO - Entering into load_embedding_model.......
[ 2024-10-17 14:29:10,356 ] 142 google.auth.compute_engine._metadata - WARNING - Compute Engine Metadata server unavailable on attempt 1 of 3. Reason: timed out
[ 2024-10-17 14:29:14,454 ] 142 google.auth.compute_engine._metadata - WARNING - Compute Engine Metadata server unavailable on attempt 2 of 3. Reason: timed out
[ 2024-10-17 14:29:19,397 ] 142 google.auth.compute_engine._metadata - WARNING - Compute Engine Metadata server unavailable on attempt 3 of 3. Reason: timed out
[ 2024-10-17 14:29:19,398 ] 340 google.auth._default - WARNING - Authentication failed using Compute Engine authentication due to unavailable metadata server.
[ 2024-10-17 14:31:29,292 ] 67 Helper - INFO - Entering into load_embedding_model.......
[ 2024-10-17 14:31:31,125 ] 20 chromadb.telemetry.product.posthog - INFO - Anonymized telemetry enabled. See                     https://docs.trychroma.com/telemetry for more information.
[ 2024-10-17 14:31:32,025 ] 71 Helper - INFO - Getting the prompt for LLM model.........
[ 2024-10-17 14:31:33,168 ] 97 werkzeug - INFO - [31m[1mWARNING: This is a development server. Do not use it in a production deployment. Use a production WSGI server instead.[0m
 * Running on all addresses (0.0.0.0)
 * Running on http://127.0.0.1:8080
 * Running on http://192.168.1.7:8080
[ 2024-10-17 14:31:33,172 ] 97 werkzeug - INFO - [33mPress CTRL+C to quit[0m
[ 2024-10-17 14:31:33,185 ] 97 werkzeug - INFO -  * Restarting with stat
[ 2024-10-17 14:31:37,133 ] 67 Helper - INFO - Entering into load_embedding_model.......
[ 2024-10-17 14:31:38,022 ] 20 chromadb.telemetry.product.posthog - INFO - Anonymized telemetry enabled. See                     https://docs.trychroma.com/telemetry for more information.
[ 2024-10-17 14:31:38,279 ] 71 Helper - INFO - Getting the prompt for LLM model.........
[ 2024-10-17 14:31:38,367 ] 97 werkzeug - WARNING -  * Debugger is active!
[ 2024-10-17 14:31:38,371 ] 97 werkzeug - INFO -  * Debugger PIN: 913-403-259
[ 2024-10-17 14:32:22,491 ] 97 werkzeug - INFO - 127.0.0.1 - - [17/Oct/2024 14:32:22] "GET / HTTP/1.1" 200 -
[ 2024-10-17 14:32:22,592 ] 97 werkzeug - INFO - 127.0.0.1 - - [17/Oct/2024 14:32:22] "GET /static/style.css HTTP/1.1" 200 -
[ 2024-10-17 14:32:22,660 ] 97 werkzeug - INFO - 127.0.0.1 - - [17/Oct/2024 14:32:22] "GET /static/jquery.min.js HTTP/1.1" 200 -
[ 2024-10-17 14:32:24,280 ] 97 werkzeug - INFO - 127.0.0.1 - - [17/Oct/2024 14:32:24] "[33mGET /favicon.ico HTTP/1.1[0m" 404 -
[ 2024-10-17 14:36:37,625 ] 26 Helper - INFO - Entering into repo_ingestion method............
[ 2024-10-17 14:36:37,626 ] 18 Utils - INFO - Entering into repo_ingestion method for clonning the repo from passed URL....
[ 2024-10-17 14:36:37,626 ] 11 Utils - INFO - Entering into create_dirs method for creating folders...
[ 2024-10-17 14:36:54,788 ] 34 Helper - INFO - Entering into load_repo method for code analysis......
[ 2024-10-17 14:36:54,819 ] 51 Helper - INFO - Entering into document_splitter method........
[ 2024-10-17 14:36:54,825 ] 67 Helper - INFO - Entering into load_embedding_model.......
[ 2024-10-17 14:36:55,419 ] 20 chromadb.telemetry.product.posthog - INFO - Anonymized telemetry enabled. See                     https://docs.trychroma.com/telemetry for more information.
[ 2024-10-17 14:37:01,227 ] 97 werkzeug - INFO - 127.0.0.1 - - [17/Oct/2024 14:37:01] "POST /chatbot HTTP/1.1" 200 -
[ 2024-10-17 14:37:47,059 ] 97 werkzeug - INFO - 127.0.0.1 - - [17/Oct/2024 14:37:47] "POST /get HTTP/1.1" 200 -
[ 2024-10-17 14:39:07,508 ] 97 werkzeug - INFO - 127.0.0.1 - - [17/Oct/2024 14:39:07] "POST /get HTTP/1.1" 200 -
[ 2024-10-17 14:40:11,237 ] 97 werkzeug - INFO - 127.0.0.1 - - [17/Oct/2024 14:40:11] "POST /get HTTP/1.1" 200 -
[ 2024-10-17 14:43:57,184 ] 97 werkzeug - INFO - 127.0.0.1 - - [17/Oct/2024 14:43:57] "POST /get HTTP/1.1" 200 -
[ 2024-10-20 16:16:10,826 ] 67 Helper - INFO - Entering into load_embedding_model.......
